y	x	lower_error	upper_error	champ
0	0.34615384615384615	0.10142106689128816	0.10920204600835448	Kaisa
1	0.3488372093023256	0.18813278493650726	0.22063926733421796	Zeri
2	0.36666666666666664	0.1225791022189868	0.13383796991760982	Garen
3	0.39	0.14329646407444047	0.15217678670111445	Ezreal
4	0.39775280898876403	0.037479655677456425	0.038377886977215836	Twitch
5	0.41280353200883	0.07268284744685716	0.0757956355492212	Vayne
6	0.421875	0.1688365596811474	0.1785178541601644	Yone
7	0.46153846153846156	0.18660100501196364	0.1926154750592275	Urgot
8	0.46494066882416396	0.053045454369587075	0.05328511402189817	Camille
9	0.4656104151314173	0.01805583584732451	0.018179551883417466	Jayce
10	0.4669260700389105	0.07096899067048962	0.07157097574963267	AurelionSol
11	0.4682658670664668	0.018238247775299143	0.018340062172845006	Qiyana
12	0.4696048632218845	0.06283536331799539	0.06346070530637987	Neeko
13	0.47048710601719196	0.017520586139319727	0.017577045086917265	Malphite
14	0.47478070175438597	0.05328678571646994	0.0536387281720026	Riven
15	0.4751264755480607	0.033526784760231354	0.03363434556933248	Gragas
16	0.47604790419161674	0.08698613776012298	0.08771218564201994	Singed
17	0.4761533318475596	0.017223823297552843	0.017359747168976758	Shyvana
18	0.47776654876200103	0.018265468916697558	0.018494274325990823	Gwen
19	0.48270345930813835	0.023108941225953417	0.023139311863732803	Pantheon
20	0.48438882568575403	0.018463185439862695	0.018361348646114273	Karthus
21	0.484390243902439	0.025420987027093056	0.025605329049320558	Skarner
22	0.48441373093968304	0.014217171694549613	0.014218705982478375	Warwick
23	0.4844961240310077	0.05807003294123636	0.057794159415084145	Tryndamere
24	0.4853574504737295	0.024029052206807067	0.024001871716560153	Taliyah
25	0.48659003831417624	0.011778689271783771	0.011857969332987162	Lillia
26	0.48681776771664415	0.00859670198752166	0.008668679559851789	Khazix
27	0.4873732985809441	0.00885960540645414	0.008801300118022326	LeeSin
28	0.4875454959053685	0.012381638878401213	0.012395818421698068	Volibear
29	0.4877878200989886	0.012011004332166175	0.012061893686754754	Ambessa
30	0.4881219032104799	0.009568072624467516	0.009574994223464417	Rengar
31	0.4888252054614029	0.006660546726333649	0.006682487250676716	Viego
32	0.488830772583633	0.012104794654053952	0.012127410748066836	Sylas
33	0.4890292284025585	0.01477573078673139	0.0147745793134611	Jax
34	0.48957055214723927	0.040388335737491565	0.040582359022943326	Olaf
35	0.48965079365079367	0.01843462080122754	0.01849551655572812	Nidalee
36	0.49122191011235955	0.01776070341964897	0.017698831339541476	Fizz
37	0.4916654445910935	0.011445431033019315	0.011524515364985777	Naafiri
38	0.49176954732510286	0.07346200504521788	0.07333601605434176	Nautilus
39	0.49302788844621515	0.01637713073237207	0.0163706415668583	Sejuani
40	0.4935672514619883	0.03234082579964098	0.03229734331913825	Poppy
41	0.49515002830722776	0.010074634729784593	0.010110981558774212	Diana
42	0.4955344281186978	0.027684686001426595	0.027821948296797683	Maokai
43	0.4963615865532438	0.01660394507089935	0.01658331872042762	Zed
44	0.49737746427925483	0.022078984814147218	0.022022502456738813	Trundle
45	0.4975845410628019	0.1055117061519118	0.10861387296069058	Ornn
46	0.4979347101932045	0.018860716821234802	0.018984431333228302	Aatrox
47	0.49873221580504296	0.009711482856949838	0.009790582597635822	Talon
48	0.4988235294117647	0.016938107158540217	0.01698222837545388	Teemo
49	0.4993204563238746	0.010534834648933677	0.010563837670587717	Vi
50	0.49980835569183596	0.018584279836604378	0.018489175217206444	Zyra
51	0.5011329305135952	0.012972001831556446	0.013052987216868761	Zac
