y	x	lower_error	upper_error	champ
0	0.3103448275862069	0.11904544951886703	0.13750027200893827	Jhin
1	0.32558139534883723	0.1319561628576445	0.15050102098951057	Morgana
2	0.38219895287958117	0.10762553050921064	0.11539227711942873	Ezreal
3	0.3951219512195122	0.10435967390347828	0.11161478918024292	Kalista
4	0.40066225165562913	0.08712755567934916	0.0910587818570266	Shaco
5	0.40298507462686567	0.09028843451709334	0.09462523237187254	Rammus
6	0.40425531914893614	0.16313562475607993	0.17646757443094813	Alistar
7	0.4090909090909091	0.11184969252021637	0.10916605013239383	Tristana
8	0.4222222222222222	0.034504861959675504	0.03237679006613503	Caitlyn
9	0.42298850574712643	0.07243095993426624	0.07537061905501541	Shyvana
10	0.42501258178158025	0.025616166539846275	0.025743589990708582	Smolder
11	0.42567287784679086	0.0326011534760694	0.0330192251519178	LeeSin
12	0.4289405684754522	0.07783383077988082	0.0801970098481441	Nidalee
13	0.43564356435643564	0.08583544428460727	0.08727715765810523	Lulu
14	0.4362017804154303	0.061218310740679904	0.06243275140495386	Vi
15	0.4418604651162791	0.06037995432395249	0.061190165037938615	Skarner
16	0.44501278772378516	0.0787354405676316	0.08075274924972009	Fizz
17	0.4461028192371476	0.06364313934232446	0.06432836845124817	Ekko
18	0.446524064171123	0.04752173239747659	0.04837301782824094	Viego
19	0.44857142857142857	0.08319994442391876	0.08551656636001842	Draven
20	0.45694117647058824	0.035109509124516325	0.035484529444362034	Graves
21	0.4601894072255349	0.030335887537788986	0.030732563981657746	Rengar
22	0.4638595129523625	0.009309482346388953	0.009334569530119408	KSante
23	0.4649122807017544	0.1419811969441407	0.14683427835419272	Katarina
24	0.4684838160136286	0.02031401532261473	0.02038108541946282	MasterYi
25	0.46872525732383213	0.0455929780089101	0.04598678512955584	Diana
26	0.4694104560622914	0.05314119188565214	0.053793323965793116	Kaisa
27	0.47058823529411764	0.07087774672226949	0.07025563490417186	Lucian
