x	y	champ	opp	total
0.5027734607593326	13	Smolder	Ryze	106.0
0.49027563648109157	13	Smolder	Sion	73.0
0.38454153749554176	13	Smolder	Syndra	169.0
0.37302499484740015	13	Smolder	Tristana	28.0
0.4153165026606685	13	Smolder	Velkoz	50.0
0.4049174477947136	13	Smolder	Vex	77.0
0.4087762418731498	13	Smolder	Viktor	208.0
0.41702344753037995	13	Smolder	Vladimir	88.0
0.3903608755625757	13	Smolder	Xerath	212.0
0.4099901728955227	13	Smolder	Yasuo	278.0
0.39641583531563507	13	Smolder	Zed	135.0
0.4148232746442281	13	Smolder	Ziggs	26.0
0.39801099499746123	13	Smolder	Zoe	74.0
0.49335445649012905	19	Tristana	Anivia	75.0
0.5235055629995758	19	Tristana	AurelionSol	61.0
0.5427445519340354	19	Tristana	Azir	41.0
0.4308063292411949	19	Tristana	Brand	33.0
0.4963137721839997	19	Tristana	Cassiopeia	28.0
0.5240034929872021	19	Tristana	Diana	59.0
0.5025019918996069	19	Tristana	Fizz	71.0
0.41011240173266095	19	Tristana	Galio	173.0
0.4979389050011653	19	Tristana	Hwei	78.0
0.4012894522709217	19	Tristana	Irelia	48.0
0.4960655961901319	19	Tristana	Jayce	24.0
0.5018184488346719	19	Tristana	Leblanc	111.0
0.5262003101704636	19	Tristana	Lissandra	32.0
0.5158531122895557	19	Tristana	Lux	76.0
0.36592841077244803	19	Tristana	Malphite	26.0
0.5266821452741999	19	Tristana	Ryze	87.0
0.5751618028708088	19	Tristana	Smolder	28.0
0.5209597630123542	19	Tristana	Swain	25.0
0.4236647434533315	19	Tristana	Veigar	79.0
0.4216435956616024	19	Tristana	Velkoz	25.0
0.3668812064014006	19	Tristana	Vex	64.0
0.433304218069957	19	Tristana	Viktor	178.0
0.3774413082604042	19	Tristana	Xerath	146.0
0.4286324905779491	19	Tristana	Yasuo	129.0
0.4257414722246343	19	Tristana	Zoe	62.0
0.53442678757739	20	Yorick	Fizz	25.0
0.39218924795638305	20	Yorick	Galio	27.0
0.5288257870744802	20	Yorick	Katarina	37.0
0.5197981338560687	22	Seraphine	Malzahar	75.0
0.5517391311782589	22	Seraphine	Mel	53.0
0.565502005686091	23	Gwen	Ekko	26.0
0.411417608111584	23	Gwen	Fizz	29.0
0.5303483660645518	23	Gwen	Kassadin	22.0
0.5680487455513004	23	Gwen	Lux	24.0
0.5667323149859754	23	Gwen	Mel	40.0
0.5367454801594599	23	Gwen	TwistedFate	27.0
0.41423158873809524	23	Gwen	Viktor	60.0
0.4122238985577517	23	Gwen	Yasuo	58.0
0.3978813762910442	23	Gwen	Zed	46.0
0.3794324448772888	24	LeeSin	Akali	41.0
0.5604469828097918	24	LeeSin	Malzahar	25.0
0.6213403366541211	24	LeeSin	Sylas	26.0
0.3778305934927645	24	LeeSin	TwistedFate	28.0
0.6011433354190052	24	LeeSin	Zed	34.0
0.5247019394027939	25	Varus	Aurora	66.0
0.4240880376979055	25	Varus	Fizz	56.0
0.4328407910208647	25	Varus	Malzahar	90.0
0.5067899538516795	25	Varus	Sylas	111.0
0.5334124760743505	26	Ryze	Aatrox	24.0
0.4585920487910548	26	Ryze	Ahri	2793.0
0.4529851237209987	26	Ryze	Akshan	486.0
0.48090863946681117	26	Ryze	Ambessa	45.0
0.41972181536747527	26	Ryze	Anivia	829.0
0.4239543462450859	26	Ryze	Annie	339.0
0.48452221439631626	26	Ryze	AurelionSol	585.0
0.4287671822972939	26	Ryze	Brand	162.0
0.5164020255193544	26	Ryze	Briar	44.0
0.5060937875385755	26	Ryze	Cassiopeia	374.0
0.5101637420433193	26	Ryze	Corki	55.0
0.4364456262430425	26	Ryze	Diana	550.0
0.5143836869377334	26	Ryze	DrMundo	23.0
0.4889361931635923	26	Ryze	Ekko	614.0
0.5013393032244442	26	Ryze	Fiddlesticks	27.0
0.49107487246869275	26	Ryze	Fizz	550.0
0.4606140555978799	26	Ryze	Galio	616.0
0.4960088525126765	26	Ryze	Gangplank	44.0
0.43738324224084224	26	Ryze	Gragas	48.0
0.561149768948612	26	Ryze	Heimerdinger	54.0
0.4926016648237851	26	Ryze	Jayce	134.0
0.5211454842167089	26	Ryze	Jhin	22.0
0.5011666236596587	26	Ryze	Kaisa	39.0
0.483449669776359	26	Ryze	Karthus	30.0
0.525953882023922	26	Ryze	Kassadin	451.0
0.4969598307481037	26	Ryze	Katarina	897.0
0.43889989091211085	26	Ryze	Kayle	116.0
0.5265196299102206	26	Ryze	Kennen	82.0
0.4531560782462191	26	Ryze	Kled	29.0
0.43621403183202395	26	Ryze	KogMaw	101.0
0.5524190791396193	26	Ryze	Malphite	72.0
0.44286876882091347	26	Ryze	Malzahar	1038.0
0.4553080399475228	26	Ryze	MasterYi	33.0
0.5211454842167089	26	Ryze	Mordekaiser	22.0
0.4430800027765288	26	Ryze	Morgana	67.0
0.4860746646967566	26	Ryze	Naafiri	369.0
0.4876435957320365	26	Ryze	Nasus	99.0
0.39605451263833785	26	Ryze	Neeko	94.0
0.405351288405983	26	Ryze	Nunu	61.0
0.4879582642006471	26	Ryze	Pantheon	103.0
0.48505348531137354	26	Ryze	Qiyana	407.0
0.44250261092984106	26	Ryze	Rumble	31.0
0.40769037085289017	26	Ryze	Sett	26.0
0.4554183096320092	26	Ryze	Shen	22.0
0.4868823111980789	26	Ryze	Singed	52.0
0.4194914152494513	26	Ryze	Sion	193.0
0.48169350062378363	26	Ryze	Talon	377.0
0.45823821558091915	26	Ryze	Tristana	87.0
0.421428085705976	26	Ryze	Tryndamere	40.0
0.4493024413784666	26	Ryze	TwistedFate	1147.0
0.4968452201415453	26	Ryze	Varus	70.0
0.448164187878935	26	Ryze	Vayne	21.0
0.49019829158985917	26	Ryze	Veigar	598.0
0.42201646145900823	26	Ryze	Velkoz	201.0
0.4920402662625672	26	Ryze	Vex	372.0
0.5101637420433193	26	Ryze	Viego	55.0
0.4495218511277435	26	Ryze	Viktor	1489.0
0.4439590899760482	26	Ryze	Yasuo	1202.0
0.43205823724829434	26	Ryze	Zac	40.0
0.49393888883281317	26	Ryze	Ziggs	93.0
0.40492343190253205	26	Ryze	Zilean	71.0
0.35683596936415474	28	DrMundo	Anivia	23.0
0.5756320545521978	28	DrMundo	TwistedFate	21.0
0.5560414305472183	28	DrMundo	Veigar	26.0
0.55774034047228	28	DrMundo	Viktor	42.0
0.6093732329329064	28	DrMundo	Xerath	27.0
0.6880037416578728	29	Draven	Akali	24.0
0.4639775809193494	30	Orianna	Ahri	4077.0
0.45186529578730544	30	Orianna	Akali	1475.0
0.45460193621560524	30	Orianna	Akshan	588.0
0.5199772133141319	30	Orianna	Ambessa	57.0
0.5201028492938631	30	Orianna	Anivia	678.0
0.4577101044625251	30	Orianna	Annie	400.0
0.44404592132173476	30	Orianna	AurelionSol	687.0
0.5223069803627824	30	Orianna	Aurora	985.0
0.4913153701591965	30	Orianna	Brand	209.0
0.5145198080621589	30	Orianna	Cassiopeia	243.0
0.5499669724854873	30	Orianna	Corki	70.0
0.4617722981584699	30	Orianna	Diana	764.0
0.5793800624975357	30	Orianna	Ezreal	68.0
0.5277612615086181	30	Orianna	Fiddlesticks	21.0
0.4596560973448255	30	Orianna	Fizz	683.0
0.5018146095995897	30	Orianna	Galio	791.0
0.5090713900901593	30	Orianna	Gangplank	46.0
0.48591545668176134	30	Orianna	Garen	66.0
0.44467583408937317	30	Orianna	Gragas	63.0
0.50049397304216	30	Orianna	Heimerdinger	60.0
0.5002829392252568	30	Orianna	Jayce	158.0
0.5147089216851242	30	Orianna	Kaisa	35.0
0.5114736193561022	30	Orianna	Karma	65.0
0.5051172779006737	30	Orianna	Karthus	39.0
0.49263751837064196	30	Orianna	Kassadin	531.0
0.45807639178496806	30	Orianna	Katarina	1072.0
0.41760186786140735	30	Orianna	Kayle	122.0
0.5059362010207156	30	Orianna	Kennen	108.0
0.4901972773455377	30	Orianna	Kled	24.0
0.45255429443525036	30	Orianna	Leblanc	960.0
0.4930400504047193	30	Orianna	Lissandra	494.0
0.45083323795060204	30	Orianna	Malphite	90.0
0.4904195042523853	30	Orianna	Malzahar	1070.0
0.49575066027293807	30	Orianna	MasterYi	31.0
0.5339997155965552	30	Orianna	Mel	1357.0
0.4662007124068592	30	Orianna	Morgana	119.0
0.4365228867529257	30	Orianna	Nasus	93.0
0.44966805810458954	30	Orianna	Neeko	126.0
0.43437479699879505	30	Orianna	Nunu	80.0
0.4525955772552691	30	Orianna	Pantheon	96.0
0.426270568653281	30	Orianna	Qiyana	416.0
0.5044694775039563	30	Orianna	Quinn	55.0
0.4901972773455377	30	Orianna	Renekton	24.0
0.4865111731926109	30	Orianna	Riven	35.0
0.42876388170430707	30	Orianna	Rumble	40.0
0.5054113983541416	30	Orianna	Seraphine	33.0
0.5055170985299614	30	Orianna	Sett	31.0
0.5193736332542521	30	Orianna	Singed	61.0
0.4651878311335693	30	Orianna	Sion	214.0
0.48680795452504183	30	Orianna	Swain	189.0
0.46170954967106637	30	Orianna	Sylas	1520.0
0.4578591495423482	30	Orianna	Syndra	1339.0
0.5160137951610926	30	Orianna	Tristana	120.0
0.5083593023915112	30	Orianna	Tryndamere	56.0
0.5149907248104071	30	Orianna	Twitch	33.0
