y	x	lower_error	upper_error	champ
0	0.3055555555555556	0.14787184184898844	0.17548971068879948	Caitlyn
1	0.35294117647058826	0.15405899758032054	0.17802808184412316	XinZhao
2	0.37777777777777777	0.19581809195128966	0.22581974283343365	MasterYi
3	0.37777777777777777	0.09815021486901898	0.10262906748921335	Jhin
4	0.3783783783783784	0.047259068864403564	0.0463759832165791	RekSai
5	0.3790322580645161	0.0895743936417504	0.09808548914567361	Kayle
6	0.38372093023255816	0.07283295935719547	0.07642396388251677	Nasus
7	0.38461538461538464	0.12428503702148486	0.14346457386578754	Vayne
8	0.38817891373801916	0.043756473366967974	0.0452886681507888	MissFortune
9	0.3943089430894309	0.06599333123411633	0.06961882261661334	KSante
10	0.39655172413793105	0.08037063597757477	0.08565623679723722	Ziggs
11	0.4	0.12003379884844173	0.12527438888164955	Aatrox
12	0.4010938924339107	0.03379434280903365	0.03446103417636204	Twitch
13	0.4065934065934066	0.1316523557033336	0.1403240306655006	Ekko
14	0.4075829383886256	0.10219284680622176	0.10974250866169744	Jax
15	0.40980392156862744	0.06801195795668696	0.06988502867865465	Nunu
16	0.41435897435897434	0.05005009161666585	0.05184619345747321	LeeSin
17	0.4154929577464789	0.11682703917085757	0.1245759400100438	Sejuani
18	0.417045632742669	0.014275111862094736	0.014408160323909125	Ezreal
19	0.42105263157894735	0.06641128075233893	0.06305082768470077	Vex
20	0.4225352112676056	0.14618126897005346	0.1543508723527045	DrMundo
21	0.4270386266094421	0.07183306822377	0.0742521426784048	Chogath
22	0.42990654205607476	0.09899169063437863	0.09936258418334848	Vi
23	0.43067226890756305	0.06921971920042919	0.07312847044120929	Orianna
24	0.43137254901960786	0.06210481775099663	0.06191442003850994	KogMaw
25	0.4362745098039216	0.09855985562117436	0.10260980134631681	Briar
26	0.4372937293729373	0.06424887740332941	0.06553392990842999	Rengar
27	0.4375	0.20134995828392685	0.21254335984906914	Mordekaiser
28	0.44011976047904194	0.05993659632710796	0.062284771299974284	Sett
29	0.4417910447761194	0.08630089130662166	0.08851540512472911	Singed
30	0.44230547550432275	0.012325920404244739	0.012450326307241077	Mel
31	0.4434389140271493	0.06145700578479957	0.06194507332313082	Skarner
32	0.4457831325301205	0.09615971986299526	0.1002324367015357	Wukong
33	0.44608879492600423	0.0720240148176775	0.07448111339370417	Ahri
34	0.4462279293739968	0.06348937613069305	0.06268848954785633	Trundle
35	0.45051194539249145	0.09125038692346255	0.09219881058338758	Rumble
36	0.45176695319961796	0.03541782649286518	0.03554510846211478	Malphite
37	0.45208333333333334	0.03262070145503526	0.03313882488608311	Veigar
38	0.45308056872037916	0.022227078778181142	0.02262501244254217	Ashe
39	0.45566502463054187	0.03579778654477733	0.03637544071746823	Camille
40	0.463898916967509	0.03962350671317422	0.0400703693292776	Heimerdinger
41	0.4669811320754717	0.10061589550473787	0.10533784517508976	Qiyana
42	0.46799540053660404	0.022416066883062413	0.022744560704321626	Shen
43	0.46808510638297873	0.03302944761970916	0.033342816237785455	Zac
44	0.4690741956664478	0.018610151912651085	0.018881895131134196	Sylas
45	0.47025673137132123	0.0286884633792161	0.028957624038614904	Hwei
46	0.4706766917293233	0.05977600950922635	0.0617126335547426	TwistedFate
47	0.4721189591078067	0.09279664977082641	0.09320712907504675	Ornn
48	0.47257979192382293	0.021605653768515087	0.021767745728599408	Leblanc
49	0.47368421052631576	0.14318555983430492	0.1442650403921723	Malzahar
50	0.4744525547445255	0.12869378533686954	0.1326847380199958	AurelionSol
51	0.47632575757575757	0.03519451642149468	0.03573357851305681	JarvanIV
52	0.4765970579158523	0.011739318390868114	0.011788392384910196	Swain
53	0.47662206876708385	0.011339292966238812	0.011391109916051578	Pantheon
54	0.4802314368370299	0.05003992782433442	0.05017720506425699	Lissandra
55	0.4808614605013121	0.015495955417919371	0.01567290753057854	Shaco
56	0.4820219966159052	0.023757366834949778	0.023628490588022133	Fiddlesticks
57	0.4839193083573487	0.010119393710325386	0.010243808873881044	Xerath
58	0.4845360824742268	0.14411471298240275	0.14626407730182073	Zed
59	0.48567415730337077	0.007899430337206914	0.007989374940725769	Lux
60	0.48694424841213835	0.021586957232011206	0.021715311812980476	Zoe
61	0.48717948717948717	0.06842279350322483	0.06898794600380326	Taliyah
62	0.4879723480779112	0.011192420943638592	0.011244998240503956	Neeko
63	0.4888043937473595	0.023703784476101997	0.02384629870437227	Anivia
64	0.4889750918742344	0.0231626761431602	0.02351269820069002	Galio
65	0.48943954764676534	0.007986293611059236	0.008039193782201082	Yuumi
66	0.49066855657925823	0.02499388956125098	0.025110321746870112	Teemo
67	0.4911692376481109	0.01732949271883394	0.017358097713099874	Renata
68	0.49297867241792476	0.011360976744093587	0.011375448552831069	Brand
69	0.49333333333333335	0.03139086559765303	0.031410828037666316	Sion
70	0.49335863377609107	0.06902469773186454	0.06722717506837023	Syndra
71	0.49369217830109335	0.033211925610506676	0.03368161617764176	Nidalee
72	0.49372123416103186	0.008753134111071481	0.008752216121244882	Morgana
73	0.495119861980769	0.005686802759664655	0.005738274675236854	Lulu
74	0.49523174733388026	0.008305258874070576	0.008338009470695573	Alistar
75	0.49569251159708416	0.04190815855352337	0.0419106274176998	Gragas
76	0.4958813838550247	0.06223590307217702	0.06307382252978527	Kennen
77	0.49615174837888615	0.012702320591015948	0.012855964510570306	TahmKench
78	0.4977796052631579	0.00743324477552626	0.007478906328442059	Pyke
79	0.4980358102799487	0.010535413094589607	0.010587079093763663	Velkoz
80	0.49870110189855604	0.005397937134210495	0.005424044964859431	Nautilus
81	0.4988248056409329	0.01101535061451181	0.0110649461662643	Rell
82	0.49984746438880157	0.007961601285887632	0.007963152867050183	Senna
83	0.5002835341285554	0.005171151620049663	0.005204615919923161	Karma
84	0.5014047696831101	0.013269527777280743	0.01327687157074564	Poppy
85	0.5015065282892535	0.029761659120496775	0.02997076786938646	Annie
86	0.5029227105434076	0.017020152646355202	0.017108458088085032	Elise
87	0.5036289751935791	0.007363788394176285	0.007421678390265085	Blitzcrank
88	0.5041979325182347	0.00839941995796506	0.008436400805862942	Rakan
89	0.5045690293899728	0.02574849009221719	0.02568379428878409	Amumu
90	0.5048135696821516	0.010101317027166101	0.010198698863467692	Zyra
91	0.504876660341556	0.00713942807560658	0.007184574499239593	Milio
92	0.5064575233498682	0.007736094194166043	0.007801959126764735	Seraphine
93	0.5074110010706638	0.006699357652217408	0.00674861708359642	Bard
94	0.508102564102564	0.006520320933469326	0.006537994288598359	Leona
95	0.5104282115869018	0.008222155289025923	0.008277611404432395	Soraka
96	0.5126103351123141	0.00478595748658428	0.004808675519012651	Thresh
97	0.5129596867002182	0.006794853214461938	0.006832156631581876	Braum
98	0.5129873379710725	0.011570388167857715	0.011649612887317362	Maokai
99	0.5131297295667642	0.008969434465830095	0.009068224793532531	Janna
100	0.5135135135135135	0.0972804178243527	0.09164812701764935	Quinn
101	0.5143712010554587	0.007962083742152903	0.00799174700790739	Sona
102	0.5176408361517947	0.00446910639180087	0.004504205269268868	Nami
103	0.5201258839070635	0.01019280615062601	0.010266638991809796	Zilean
104	0.5251177394034537	0.04541889141932898	0.04525072689654286	Ivern
105	0.5251411914738568	0.0155650988855901	0.015705109373317594	Taric
106	0.5329949238578681	0.06586762051081746	0.06574732416145912	Rammus
