	0	1	2	3	4
115	0.37705552216151744	14	blue	diamond	Malphite
116	0.372399666758272	14	blue	diamond	Mordekaiser
117	0.4918122304544907	14	blue	diamond	Nasus
118	0.38758170116480484	14	blue	diamond	Olaf
119	0.542936535394644	14	blue	diamond	Pantheon
120	0.4994635406270274	14	blue	diamond	Riven
121	0.4990832695441619	14	blue	diamond	Rumble
122	0.3629796784973555	14	blue	diamond	Sett
123	0.506618380026511	14	blue	diamond	Sion
124	0.3319233191987714	14	blue	diamond	TahmKench
125	0.37346655353911185	14	blue	diamond	Trundle
126	0.4992584793664888	14	blue	diamond	Tryndamere
127	0.3790344637570068	14	blue	diamond	Urgot
128	0.5635388881740243	14	blue	diamond	Varus
129	0.4992922943708745	14	blue	diamond	Volibear
130	0.4993774617880069	14	blue	diamond	Yorick
131	0.4856516255681668	14	blue	diamond	Zaahen
132	0.44206008583690987	15	red	circle	
133	0.44745762711864406	16	red	circle	
134	0.266825308909503	16	blue	diamond	Gnar
135	0.5725228479175414	16	blue	diamond	Renekton
136	0.544050740086215	16	blue	diamond	Varus
137	0.45255474452554745	17	red	circle	
138	0.6233495283008118	17	blue	diamond	Jax
139	0.25421942731637714	17	blue	diamond	Ornn
140	0.4552129221732746	18	red	circle	
141	0.5711412024357853	18	blue	diamond	Aatrox
142	0.349172771337688	18	blue	diamond	Aurora
143	0.5368099812591728	18	blue	diamond	Chogath
144	0.37957338534540325	18	blue	diamond	Fiora
145	0.5224834835981171	18	blue	diamond	Riven
146	0.5843436147814354	18	blue	diamond	Rumble
147	0.3786431501294458	18	blue	diamond	Shen
148	0.5391597293926119	18	blue	diamond	Tryndamere
149	0.4587115481593545	19	red	circle	
150	0.4817787196416477	19	blue	diamond	Akali
151	0.4239753284751721	19	blue	diamond	Ambessa
152	0.4762457429483866	19	blue	diamond	Anivia
153	0.44168465019127706	19	blue	diamond	Aurora
154	0.37898903707436865	19	blue	diamond	Brand
155	0.5158972150775454	19	blue	diamond	Briar
156	0.49513865026682996	19	blue	diamond	Camille
157	0.48993875742493187	19	blue	diamond	DrMundo
158	0.4803148448735166	19	blue	diamond	Ekko
159	0.39993214527784465	19	blue	diamond	Elise
160	0.44424480470785005	19	blue	diamond	Fiora
161	0.4289329602707593	19	blue	diamond	Galio
162	0.5016257074980291	19	blue	diamond	Gangplank
163	0.38519207392314275	19	blue	diamond	Garen
164	0.5028720122372358	19	blue	diamond	Gragas
165	0.5430664630170754	19	blue	diamond	Graves
166	0.4251221449877578	19	blue	diamond	Gwen
167	0.4914840169183772	19	blue	diamond	Heimerdinger
168	0.4449288185807858	19	blue	diamond	Illaoi
169	0.4366927151450768	19	blue	diamond	Jax
170	0.42586126311834255	19	blue	diamond	Karma
171	0.38737886332703064	19	blue	diamond	Kayle
172	0.33751734750035783	19	blue	diamond	Kayn
173	0.5024101022838756	19	blue	diamond	Kennen
174	0.4427367291411147	19	blue	diamond	Kled
175	0.399938396615095	19	blue	diamond	KogMaw
176	0.4082170883688688	19	blue	diamond	Malzahar
177	0.520051062507899	19	blue	diamond	Maokai
178	0.4386961788926296	19	blue	diamond	Naafiri
179	0.5387881988951051	19	blue	diamond	Nasus
180	0.43526795389663053	19	blue	diamond	Nautilus
181	0.4933853720396001	19	blue	diamond	Olaf
182	0.4826628778912067	19	blue	diamond	Ornn
183	0.40835615456021473	19	blue	diamond	Quinn
184	0.564316434317365	19	blue	diamond	RekSai
185	0.5538603205602259	19	blue	diamond	Rengar
186	0.39183387548332727	19	blue	diamond	Riven
187	0.40699708570027177	19	blue	diamond	Ryze
188	0.47964258108806246	19	blue	diamond	Sejuani
189	0.4082170883688688	19	blue	diamond	Senna
190	0.4892174501656742	19	blue	diamond	Sett
191	0.4348304509773728	19	blue	diamond	Shen
192	0.42505318292155736	19	blue	diamond	Singed
193	0.49732037287751857	19	blue	diamond	Sion
194	0.49512235923077724	19	blue	diamond	Swain
195	0.5180428717990271	19	blue	diamond	Sylas
196	0.5265038045073591	19	blue	diamond	TahmKench
197	0.5217271397515337	19	blue	diamond	Trundle
